function_id,function,mode,mode_record_basis,authorised_job_scope,current_system,responsible_person,external_ids_protected_reference,activation_time,approved_version,ben_approval_reference,fallback,planned_R1_mode,target_release,planned_target_mode,planned_change,current_route_verification,scope_boundary_notes,status
FN-01,Office core/intake/tasks/planners/calls/issues,Disabled,Proposed new-system baseline only; no live configuration inspected/changed,None authorised in this register,Current office processes; exact systems/owners to inventory,Tanya; Ben bank checks; Hannah variations,,,,,Owned manual office actions and preserved job/history references,Automated,R1,Automated,R1 scoped office processor after G01 and full R1 controls,BLOCKED — INPUT REQUIRED,Split rows per actual function/producer/job-package scope; record pilot/non-pilot and covered locations; existing route remains active until authorised transfer,PLANNED — NOT ACTIVATED
FN-02,Calendar entries,Disabled,Proposed new-system baseline only; no live configuration inspected/changed,None authorised in this register,Existing Jotform producer; Tanya updates/reassigns/deletes and records event links/outcomes,Tanya; existing connection owner to verify,,,,,Existing route with one agreed source event; reconcile IDs before restart,Manual,R2,Automated,R2 tested adapter; keep R1 tasks until scoped cutover passes,BLOCKED — INPUT REQUIRED,Split rows per actual function/producer/job-package scope; record pilot/non-pilot and covered locations; existing route remains active until authorised transfer,PLANNED — NOT ACTIVATED
FN-03,Orders and merchant messages,Disabled,Proposed new-system baseline only; no live configuration inspected/changed,None authorised in this register,Existing ordering/email route,Tanya,,,,,Owned existing order/revision/confirmation tasks; preserve sends/IDs,Manual,R2,Automated,R2 order/delivery workflow with latest-revision confirmation,BLOCKED — INPUT REQUIRED,Split rows per actual function/producer/job-package scope; record pilot/non-pilot and covered locations; existing route remains active until authorised transfer,PLANNED — NOT ACTIVATED
FN-04,Scaffold commitments,Disabled,Proposed new-system baseline only; no live configuration inspected/changed,None authorised in this register,Existing shared scaffold sheet,Tanya,,,,,Existing sheet with tracked updates/confirmations/safe strip,Manual,R2,Automated,R2 integrated scaffold workflow; partner access only if approved/tested,BLOCKED — INPUT REQUIRED,Split rows per actual function/producer/job-package scope; record pilot/non-pilot and covered locations; existing route remains active until authorised transfer,PLANNED — NOT ACTIVATED
FN-05,Panel stock balances/movements,Disabled,Proposed new-system baseline only; no live configuration inspected/changed,None authorised in this register,Existing physical/store records,Store owner to be named by Ben,,,,,Continue manual stock; do not present partial ledger as total,Manual,R2,Automated,R2 full covered-location ledger including non-pilot movements; otherwise keep new balance Disabled,BLOCKED — INPUT REQUIRED,Split rows per actual function/producer/job-package scope; record pilot/non-pilot and covered locations; existing route remains active until authorised transfer,PLANNED — NOT ACTIVATED
FN-06,Installer app/forms access,Disabled,Proposed new-system baseline only; no live configuration inspected/changed,None authorised in this register,Existing installer process/forms; app access not enabled,Ben/technical lead; installer identities to verify,,,,,Current documented forms/evidence route,Disabled,R3,Automated,R3 only after commissioning amendment and security tests,BLOCKED — INPUT REQUIRED,Split rows per actual function/producer/job-package scope; record pilot/non-pilot and covered locations; existing route remains active until authorised transfer,PLANNED — NOT ACTIVATED
FN-07,Commissioning receipt/review,Disabled,Proposed new-system baseline only; no live configuration inspected/changed,None authorised in this register,Current forms/files and company review process,Authorised reviewer to verify; Tanya missing-item follow-up,,,,,Keep in-progress jobs on original capture route unless explicitly migrated,Manual,R3,Automated,R3 at recorded job/package/form-version boundary; retain accepted historical evidence,BLOCKED — INPUT REQUIRED,Split rows per actual function/producer/job-package scope; record pilot/non-pilot and covered locations; existing route remains active until authorised transfer,PLANNED — NOT ACTIVATED
FN-08,Handover,Disabled,Proposed new-system baseline only; no live configuration inspected/changed,None authorised in this register,Existing complete handover process,Tanya; technical content approver to verify,,,,,Existing complete pack with owner and recorded sent version,Manual,R3,Automated,R3 accepted replacement; PDF presentation separately accepted/deferred with owner/date,BLOCKED — INPUT REQUIRED,Split rows per actual function/producer/job-package scope; record pilot/non-pilot and covered locations; existing route remains active until authorised transfer,PLANNED — NOT ACTIVATED
FN-09,Invoices and payment reconciliation,Disabled,Proposed new-system baseline only; no live configuration inspected/changed,None authorised in this register,Existing authorised Zapier/Xero route,Tanya verification/chasing; actual adapter connection owner to verify; Ben bank check has separate Manual row,,,,,"Existing authorised route after reconciliation, no duplicate creators",Manual,R4,Automated,R4 tested invoice/payment adapters; adopt existing IDs,BLOCKED — INPUT REQUIRED,Split rows per actual function/producer/job-package scope; record pilot/non-pilot and covered locations; existing route remains active until authorised transfer,PLANNED — NOT ACTIVATED
FN-10,Phoenix evidence/upload/chase,Disabled,Proposed new-system baseline only; no live configuration inspected/changed,None authorised in this register,Existing Phoenix route/agreement,Hannah evidence upload; Tanya settlement chase,,,,,Current approved agreement/evidence route and recorded reference,Manual,R4,Manual,R4 integration extends supported finance functions; do not infer automated portal upload,BLOCKED — INPUT REQUIRED,Split rows per actual function/producer/job-package scope; record pilot/non-pilot and covered locations; existing route remains active until authorised transfer,PLANNED — NOT ACTIVATED
FN-11,GHL progression/messages,Disabled,Proposed new-system baseline only; no live configuration inspected/changed,None authorised in this register,Existing GHL workflow with human completion,Tanya,,,,,Owned human task; record outcome and prevent repeated workflow,Manual,R1,Manual,Remains Manual in every release; correct invoice/evidence checks,BLOCKED — INPUT REQUIRED,Split rows per actual function/producer/job-package scope; record pilot/non-pilot and covered locations; existing route remains active until authorised transfer,PLANNED — NOT ACTIVATED
FN-12,Accounting/reporting,Disabled,Proposed new-system baseline only; no live configuration inspected/changed,None authorised in this register,"Existing finance/reporting processes, details to inventory",Accountant/finance owner policy; Ben priorities,,,,,Existing reviewed reports; retain snapshots and reconciliation,Manual,R4,Automated,R4 approved mapped accounts/tax/recognition/cost; no placeholder postings,BLOCKED — INPUT REQUIRED,Split rows per actual function/producer/job-package scope; record pilot/non-pilot and covered locations; existing route remains active until authorised transfer,PLANNED — NOT ACTIVATED
FN-13,Archive,Disabled,Proposed new-system baseline only; no live configuration inspected/changed,None authorised in this register,New system retains active records until archive acceptance; current retention route to inventory,Company data/support owner to be named,,,,,"Retain active records, hide completed tasks by views, monitor capacity; no purge",Disabled,R4,Automated,R4 tested six-month obligation/restore workflow,BLOCKED — INPUT REQUIRED,Split rows per actual function/producer/job-package scope; record pilot/non-pilot and covered locations; existing route remains active until authorised transfer,PLANNED — NOT ACTIVATED
FN-14,Automated backup/restore tooling and health monitoring,Disabled,Proposed new-system baseline only; no live configuration inspected/changed,None authorised in this register,Existing monitoring/recovery details to inventory; new foundations required before R1,Named developer/support; Tanya reviews health via separate Manual row,,,,,Named manual health checks and preserved/reconciled newer committed work,Automated,R1,Automated,"R1 demonstrated backup/restore, alerts, last-success and documented manual outage check",BLOCKED — INPUT REQUIRED,Split rows per actual function/producer/job-package scope; record pilot/non-pilot and covered locations; existing route remains active until authorised transfer,PLANNED — NOT ACTIVATED
FN-15,Bank deposit confirmation,Disabled,Proposed new-system baseline only; existing live process not changed,None authorised in this register,Existing secure bank check; never inferred from payment sync,Ben,,,,,Authenticated recorded manual confirmation remains required every release,Manual,R1,Manual,Track current authorised manual action from R1; later automation not inferred,BLOCKED — INPUT REQUIRED,"Record scope, actor, due date, revision, external reference and evidence; preserve independent human approvals",PLANNED — NOT ACTIVATED
FN-16,Daily authorisation/health and outage review,Disabled,Proposed new-system baseline only; existing live process not changed,None authorised in this register,Existing company health route to document,Tanya; Ben backup,,,,,Manual dashboard/outage check and owned follow-up remain available when automation fails,Manual,R1,Manual,Track current authorised manual action from R1; later automation not inferred,BLOCKED — INPUT REQUIRED,"Record scope, actor, due date, revision, external reference and evidence; preserve independent human approvals",PLANNED — NOT ACTIVATED
FN-17,GHL cancellation,Disabled,Proposed new-system baseline only; existing live process not changed,None authorised in this register,Existing authorised GHL cancellation route,Tanya,,,,,Human cancellation task; no automatic good-job workflow,Manual,R1,Manual,Track current authorised manual action from R1; later automation not inferred,BLOCKED — INPUT REQUIRED,"Record scope, actor, due date, revision, external reference and evidence; preserve independent human approvals",PLANNED — NOT ACTIVATED
FN-18,Manual missing-form reminder,Disabled,Proposed new-system baseline only; existing live process not changed,None authorised in this register,Current installer contact/evidence route,Tanya,,,,,Tanya sends/records two-working-day reminder when automatic delivery not enabled,Manual,R1,Manual,Track current authorised manual action from R1; later automation not inferred,BLOCKED — INPUT REQUIRED,"Record scope, actor, due date, revision, external reference and evidence; preserve independent human approvals",PLANNED — NOT ACTIVATED
FN-19,Operational completion approval,Disabled,Proposed new-system baseline only; existing live process not changed,None authorised in this register,Current approved evidence/reviewer process,Tanya,,,,,Human approval only after required work/evidence/customer/blocker gates; separate balance/handover/strip obligations,Manual,R1,Manual,Track current authorised manual action from R1; later automation not inferred,BLOCKED — INPUT REQUIRED,"Record scope, actor, due date, revision, external reference and evidence; preserve independent human approvals",PLANNED — NOT ACTIVATED
FN-20,Customer and installer notices,Disabled,Proposed new-system baseline only; existing live process not changed,None authorised in this register,Existing approved communication route; exact settings to inventory,Tanya,,,,,R1 tracked manual sends/outcomes; any later automation requires separately tested and approved function scope,Manual,R1,Manual,Track current authorised manual action from R1; later automation not inferred,BLOCKED — INPUT REQUIRED,"Record scope, actor, due date, revision, external reference and evidence; preserve independent human approvals",PLANNED — NOT ACTIVATED
