inventory_id,name,system,trigger,owner,inputs,outputs,external_ids_protected_reference,known_url,credentials_account_owner,current_live_status,proposed_future_owner,replacement_step,retirement_or_retention_decision,cutover_considerations,rollback_considerations,settings_export_reference,exported_at,export_checksum,notes,status
INV-001,Job Sold Jotform,Jotform,,,,,,https://form.jotform.com/260185763834060,,UNVERIFIED — existing process referenced; no live inspection,,S05 intake in R1; R1-S19/S20 scoped intake cutover without replaying existing producer triggers,BLOCKED — Ben decision required,Preserve live producer; reconcile IDs before future replacement,Retain external IDs and export; reconcile before restarting single producer,,,,Discovery placeholder; expand to every actual instance. No current question IDs inferred.,BLOCKED — INPUT REQUIRED
INV-002,Job Booking Jotform,Jotform,,,,,,https://form.jotform.com/250293237424050,,UNVERIFIED — existing process referenced; no live inspection,,S05 intake in R1; R1-S19/S20 scoped intake cutover without replaying existing producer triggers,BLOCKED — Ben decision required,Preserve live producer; reconcile IDs before future replacement,Retain external IDs and export; reconcile before restarting single producer,,,,Discovery placeholder; expand to every actual instance. No current question IDs inferred.,BLOCKED — INPUT REQUIRED
INV-003,Zapier automations — one row per Zap,Zapier,,,,,,,,UNVERIFIED — existing process referenced; no live inspection,,Per producer: R1 intake / R2 Calendar-materials / R4 finance; applicable R?-S19/S20,BLOCKED — Ben decision required,Preserve live producer; reconcile IDs before future replacement,Retain external IDs and export; reconcile before restarting single producer,,,,Discovery placeholder; expand to every actual instance. No current question IDs inferred.,BLOCKED — INPUT REQUIRED
INV-004,Calendar producers — one row per calendar/action,Google Calendar/Jotform/Zapier,,,,,,,,UNVERIFIED — existing process referenced; no live inspection,,S11 Calendar adapter in R2; existing route and R1 tasks until R2-S19/S20 cutover,BLOCKED — Ben decision required,Preserve live producer; reconcile IDs before future replacement,Retain external IDs and export; reconcile before restarting single producer,,,,Discovery placeholder; expand to every actual instance. No current question IDs inferred.,BLOCKED — INPUT REQUIRED
INV-005,Invoices/Xero — one row per producer/action,Xero/Zapier,,,,,,,,UNVERIFIED — existing process referenced; no live inspection,,S13 manual verification R1; automated adapters R4-S19/S20,BLOCKED — Ben decision required,Preserve live producer; reconcile IDs before future replacement,Retain external IDs and export; reconcile before restarting single producer,,,,Discovery placeholder; expand to every actual instance. No current question IDs inferred.,BLOCKED — INPUT REQUIRED
INV-006,GHL stages/messages/workflows,GHL,,,,,,,,UNVERIFIED — existing process referenced; no live inspection,,Human GHL task R1 onward; remains Manual every release,BLOCKED — Ben decision required,Preserve live producer; reconcile IDs before future replacement,Retain external IDs and export; reconcile before restarting single producer,,,,Discovery placeholder; expand to every actual instance. No current question IDs inferred.,BLOCKED — INPUT REQUIRED
INV-007,Scaffold workflow and sheet,Sheets/scaffolder,,,,,,,,UNVERIFIED — existing process referenced; no live inspection,,S09 office/manual R1; integrated R2-S19/S20,BLOCKED — Ben decision required,Preserve live producer; reconcile IDs before future replacement,Retain external IDs and export; reconcile before restarting single producer,,,,Discovery placeholder; expand to every actual instance. No current question IDs inferred.,BLOCKED — INPUT REQUIRED
INV-008,Supplier/merchant orders and lists,Email/merchant,,,,,,,,UNVERIFIED — existing process referenced; no live inspection,,Existing route + tracked tasks R1; S07 workflow R2-S19/S20,BLOCKED — Ben decision required,Preserve live producer; reconcile IDs before future replacement,Retain external IDs and export; reconcile before restarting single producer,,,,Discovery placeholder; expand to every actual instance. No current question IDs inferred.,BLOCKED — INPUT REQUIRED
INV-009,Phoenix evidence/settlement process,Phoenix,,,,,,,,UNVERIFIED — existing process referenced; no live inspection,,S13 manual Phoenix evidence/chase R1 onward; extend supported finance route R4 without assuming automated upload,BLOCKED — Ben decision required,Preserve live producer; reconcile IDs before future replacement,Retain external IDs and export; reconcile before restarting single producer,,,,Discovery placeholder; expand to every actual instance. No current question IDs inferred.,BLOCKED — INPUT REQUIRED
INV-010,Existing Apps Script projects/triggers,Apps Script,,,,,,,,UNVERIFIED — existing process referenced; no live inspection,,Determine each producer scope; applicable R?-S19/S20 under RA01,BLOCKED — Ben decision required,Preserve live producer; reconcile IDs before future replacement,Retain external IDs and export; reconcile before restarting single producer,,,,Discovery placeholder; expand to every actual instance. No current question IDs inferred.,BLOCKED — INPUT REQUIRED
INV-011,Signable contract process,Signable,,,,,,,,UNVERIFIED — existing process referenced; no live inspection,,Inventory/current manual route; cancellation controls R1 onward,BLOCKED — Ben decision required,Preserve live producer; reconcile IDs before future replacement,Retain external IDs and export; reconcile before restarting single producer,,,,Discovery placeholder; expand to every actual instance. No current question IDs inferred.,BLOCKED — INPUT REQUIRED
